City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,6.79,light rain,87,100,1.03,AR,1678045982
1,Svetlaya,46.5389,138.3297,0.92,clear sky,70,6,3.68,RU,1678046120
2,Barra Patuca,15.8,-84.2833,28.36,clear sky,61,5,5.64,HN,1678046120
3,Arraial Do Cabo,-22.9661,-42.0278,32.98,clear sky,61,0,5.14,BR,1678046120
4,Punta Arenas,-53.15,-70.9167,8.06,overcast clouds,81,100,9.77,CL,1678046064
5,Vaini,-21.2,-175.2,26.09,light rain,94,100,5.14,TO,1678046120
6,Rikitea,-23.1203,-134.9692,26.73,light rain,73,100,9.57,PF,1678046121
7,Kiama,-34.6833,150.8667,21.99,scattered clouds,83,35,3.13,AU,1678046121
8,Westport,41.1415,-73.3579,12.27,overcast clouds,48,85,5.36,US,1678046121
9,Lagoa,39.05,-27.9833,14.12,overcast clouds,67,99,10.29,PT,1678046121
10,Bosobolo,4.1833,19.9,30.55,overcast clouds,33,100,0.53,CD,1678046121
11,Stornoway,58.2093,-6.3865,5.52,broken clouds,93,75,1.03,GB,1678045916
12,Bilma,18.6853,12.9164,29.71,clear sky,9,5,4.81,NE,1678046121
13,Tual,-5.6667,132.75,27.44,overcast clouds,78,100,9.65,ID,1678046121
14,Port Elizabeth,-33.918,25.5701,20.16,light rain,91,40,13.38,ZA,1678045822
15,Husavik,66.0449,-17.3389,-4.49,overcast clouds,71,100,3.3,IS,1678046121
16,Puerto Ayora,-0.7393,-90.3518,28.98,light rain,87,79,2.24,EC,1678046122
17,Gazojak,41.1875,61.4036,11.66,broken clouds,49,82,4.5,TM,1678046122
18,Tuatapere,-46.1333,167.6833,7.77,broken clouds,86,68,1.95,NZ,1678046122
19,Tarko-Sale,64.9225,77.785,-28.37,overcast clouds,100,100,2.82,RU,1678046123
20,Atuona,-9.8,-139.0333,26.83,few clouds,79,14,6.81,PF,1678046123
21,Jamestown,42.097,-79.2353,3.34,overcast clouds,85,100,4.63,US,1678046123
22,Mataura,-46.1927,168.8643,6.93,few clouds,89,23,1.19,NZ,1678046124
23,Lebu,-37.6167,-73.65,18.25,clear sky,78,6,5.23,CL,1678046124
24,Baiyin,36.5583,104.2081,4.39,scattered clouds,32,29,1.57,CN,1678046124
25,Bluff,-46.6,168.3333,7.11,few clouds,84,22,3.83,NZ,1678046124
26,Sechura,-5.5569,-80.8222,29.3,scattered clouds,58,45,7.15,PE,1678046124
27,Zhigansk,66.7697,123.3711,-19.51,overcast clouds,96,100,2.61,RU,1678046030
28,Cape Town,-33.9258,18.4232,18.95,broken clouds,89,75,8.75,ZA,1678046107
29,Kapaa,22.0752,-159.319,25.66,broken clouds,80,67,0.89,US,1678046124
30,Henties Bay,-22.116,14.2845,18.21,clear sky,81,0,7.23,NA,1678046124
31,Bowen,-20.0167,148.2333,24.2,overcast clouds,82,99,4.54,AU,1678046125
32,Severo-Kurilsk,50.6789,156.125,-2.88,overcast clouds,83,98,3.52,RU,1678046125
33,Pisco,-13.7,-76.2167,25.03,clear sky,73,0,4.12,PE,1678046125
34,Ternate,0.8,127.4,26.37,broken clouds,82,51,4.9,ID,1678046125
35,Isangel,-19.55,169.2667,25.84,few clouds,85,15,3.35,VU,1678046125
36,Sao Geraldo Do Araguaia,-6.4006,-48.555,28.79,light rain,86,55,0.53,BR,1678046125
37,Pangody,65.85,74.4859,-29.58,overcast clouds,100,93,2.63,RU,1678046125
38,Evensk,61.95,159.2333,-29.89,few clouds,85,22,3.5,RU,1678046126
39,Albanel,48.8832,-72.4487,3.08,overcast clouds,48,100,7.72,CA,1678046126
40,Longyearbyen,78.2186,15.6401,-15.09,light snow,72,100,7.2,SJ,1678046126
41,Avarua,-21.2078,-159.775,29.03,broken clouds,89,75,8.23,CK,1678046126
42,Beloha,-25.1667,45.05,21.74,light rain,94,100,7.13,MG,1678046126
43,Albany,42.6001,-73.9662,5.03,overcast clouds,72,88,0.89,US,1678046126
44,Half Moon Bay,37.4636,-122.4286,13.12,clear sky,62,0,6.17,US,1678046126
45,Mar Del Plata,-38.0023,-57.5575,29.9,few clouds,81,20,7.2,AR,1678045952
46,Port Alfred,-33.5906,26.891,20.66,light rain,97,90,0.89,ZA,1678046126
47,Castro,-24.7911,-50.0119,21.98,clear sky,85,10,2.56,BR,1678046128
48,Busselton,-33.65,115.3333,13.1,clear sky,89,0,3.59,AU,1678046128
49,Souillac,-20.5167,57.5167,24.21,moderate rain,100,75,1.03,MU,1678046128
50,Ribeira Grande,38.5167,-28.7,14.32,light intensity shower rain,62,75,9.26,PT,1678046128
51,Kodiak,57.79,-152.4072,-0.37,overcast clouds,65,92,2.14,US,1678046128
52,Itarema,-2.9248,-39.9167,27.71,overcast clouds,76,100,6.64,BR,1678046128
53,Anaconda,46.1285,-112.9423,-1.64,light snow,87,100,1.88,US,1678046128
54,New Norfolk,-42.7826,147.0587,15.72,light rain,86,100,1.09,AU,1678046128
55,Murray Bridge,-35.1167,139.2667,14.51,clear sky,82,0,2.39,AU,1678046128
56,Ixtapa,20.7,-105.2,29.98,clear sky,35,1,3.83,MX,1678046128
57,Kropotkin,45.4375,40.5756,7.25,overcast clouds,94,100,2.82,RU,1678045921
58,Qaanaaq,77.484,-69.3632,-3.03,overcast clouds,68,100,2.0,GL,1678046115
59,Kojnare,43.35,24.1333,5.06,overcast clouds,60,99,4.33,BG,1678046131
60,Araguaina,-7.1911,-48.2072,28.5,overcast clouds,71,100,1.2,BR,1678046131
61,Katsuura,35.1333,140.3,10.54,overcast clouds,86,100,5.52,JP,1678046131
62,Tautira,-17.7333,-149.15,26.43,moderate rain,84,100,7.67,PF,1678046131
63,Bethel,41.3712,-73.414,11.08,broken clouds,54,80,3.13,US,1678046131
64,Chicama,-7.8447,-79.1469,25.3,overcast clouds,62,100,3.44,PE,1678046131
65,Kommunar,59.6206,30.39,-4.26,overcast clouds,99,100,1.41,RU,1678045862
66,Mawlaik,23.6333,94.4167,18.36,clear sky,44,0,0.45,MM,1678046132
67,Kahului,20.8947,-156.47,26.02,clear sky,81,4,1.34,US,1678046132
68,Tuktoyaktuk,69.4541,-133.0374,-34.0,clear sky,68,0,1.54,CA,1678046132
69,Puerto Del Rosario,28.5004,-13.8627,18.86,few clouds,82,20,3.09,ES,1678046021
70,Kutum,14.2,24.6667,22.51,clear sky,10,7,4.11,SD,1678046132
